;;"Fehler: Die LED Nummer darf nicht negativ werden. Das kann durch eine falsche Angabe bei einem vorangegangenen ""Next_LED"" Befehl passieren.";"Error: The LED number must not become negative. This can happen through an incorrect entry in a previous ""Next_LED"" command.";"Fout: het LED-nummer mag niet negatief worden. Dit kan gebeuren door een onjuiste invoer in een eerdere ""Next_LED"" -opdracht.";"Erreur: le nombre de LED ne doit pas devenir négatif. Cela peut se produire par une entrée incorrecte dans une précédente commande ""Next_LED"".";"Errore: il numero del LED non deve diventare negativo. Ciò può accadere tramite una voce errata in un precedente comando ""Next_LED"".";"Error: el número de LED no debe volverse negativo. Esto puede suceder por una entrada incorrecta en un comando ""Next_LED"" anterior.";"Fejl: LED-nummeret må ikke blive negativt. Dette kan ske gennem en forkert indtastning i en tidligere ""Next_LED"" kommando."
;;Fehler: Negative LED Nummer;Error: Negative LED number;Fout: negatief LED-nummer;Erreur: numéro de LED négatif;Errore: numero LED negativo;Error: número de LED negativo;Fejl: Negativt LED-nummer
;;"Kein COM Port erkannt.|
Bitte Arduino an einen USB Anschluss des Computers anschließen";"No COM port recognized. | 
 Please connect the Arduino to a USB port on the computer";"Geen COM-poort herkend. | 
 Sluit de Arduino aan op een USB-poort op de computer";"Aucun port COM reconnu. | 
 Veuillez connecter l'Arduino à un port USB de l'ordinateur";"Nessuna porta COM riconosciuta. | 
 Si prega di collegare Arduino a una porta USB del computer";"No se reconoce ningún puerto COM. | 
 Conecte el Arduino a un puerto USB de la computadora";"Ingen COM -port genkendes. | 
 Slut Arduino til en USB -port på computeren"
;;Fehler: Das DMX Senden ist auf 100 Leds (300 DMX Kanäle) limitiert.;Error: The DMX sending is limited to 100 LEDs (300 DMX channels).;Fout: de DMX-verzending is beperkt tot 100 LED's (300 DMX-kanalen).;Erreur: l'envoi DMX est limité à 100 LED (300 canaux DMX).;Errore: l'invio DMX è limitato a 100 LED (300 canali DMX).;Error: El envío DMX está limitado a 100 LED (300 canales DMX).;Fejl: DMX-afsendelsen er begrænset til 100 lysdioder (300 DMX-kanaler).
;;Fehler: Eine notwendige Arduino Erweiterung ist nicht installiert:;Error: A necessary Arduino extension is not installed:;Fout: een noodzakelijke Arduino-extensie is niet geïnstalleerd:;Erreur: une extension Arduino nécessaire n'est pas installée:;Errore: un'estensione Arduino necessaria non è installata:;Error: una extensión necesaria de Arduino no está instalada:;Fejl: En nødvendig Arduino-udvidelse er ikke installeret:
;;Fehlende Erweiterung;Missing extension;Ontbrekende extensie;Extension manquante;Estensione mancante;Falta extensión;Mangler udvidelse
;;Fehler: Die notwendige Version der Arduino Erweiterung ist nicht installiert: ;Error: The required version of the Arduino extension is not installed:;Fout: de vereiste versie van de Arduino-extensie is niet geïnstalleerd:;Erreur: la version requise de l'extension Arduino n'est pas installée:;Errore: la versione richiesta dell'estensione Arduino non è installata:;Error: la versión requerida de la extensión Arduino no está instalada:;Fejl: Den krævede version af Arduino-udvidelsen er ikke installeret:
;;Beta-Test Installation;Beta test installation;Beta test installatie;Installation de test bêta;Installazione beta test;Instalación de prueba beta;Betatest testinstallation
;;Bitte geben sie die URL ein, von der sie die neue Beta Version herunterladen wollen;Please enter the URL from which you want to download the new beta version;Voer de URL in waarvan u de nieuwe bètaversie wilt downloaden;Veuillez saisir l'URL à partir de laquelle vous souhaitez télécharger la nouvelle version bêta;Inserisci l'URL da cui desideri scaricare la nuova versione beta;Ingrese la URL desde la que desea descargar la nueva versión beta.;Indtast den URL, hvorfra du vil downloade den nye betaversion
;;Filter:;Filter:;Filter:;Filtre:;Filtro:;Filtrar:;Filter:
;;"Tasten:|
Pfeiltasten Auf/Ab, Seite Auf/Ab, Home/Ende zum Navigieren.|
Pfeiltasten links/rechts zum Ein-/Ausklappen.|
Zifferntasten 0 bis 9 zum Auf- und Zuklappen auf eine Ebene.|
Buchstaben zum aktivieren des Filters.|
|
Treeview by JKP Application Development Services, info@jkp-ads.com, http://www.jkp-ads.com";"Keys: | 
 Up / Down, Page Up / Down, Home / End arrow keys to navigate. | 
 arrow keys left / right to fold in / out. | 
 Numeric keys 0 to 9 for opening and closing on one level. | 
 letters to activate the filter. | 
 | 
 Treeview by JKP Application Development Services, info@jkp-ads.com, http://www.jkp-ads.com";"Toetsen: | 
 Up / Down, Page Up / Down, Home / End pijltjestoetsen om te navigeren. | 
 pijltjestoetsen links/rechts om in/uit te klappen. | 
 Numerieke toetsen 0 t/m 9 voor openen en sluiten op één niveau. | 
-letters om het filter te activeren. | 
 | 
 Treeview door JKP Application Development Services, info@jkp-ads.com, http://www.jkp-ads.com";"Clés : | 
 Haut / Bas, Page Haut / Bas, Accueil / Fin des touches fléchées pour naviguer. | Touches fléchées 
 gauche/droite pour replier/déplier. | 
 Touches numériques 0 à 9 pour ouverture et fermeture sur un niveau. | Lettres 
 pour activer le filtre. | 
 | 
 Treeview par JKP Application Development Services, info@jkp-ads.com, http://www.jkp-ads.com";"Tasti: | 
 Tasti freccia su/giù, pagina su/giù, home/fine per navigare. | Tasti freccia 
 sinistra / destra per piegare dentro / fuori. | 
 Tasti numerici da 0 a 9 per apertura e chiusura su un livello. | Lettere 
 per attivare il filtro. | 
 | 
 Treeview di JKP Application Development Services, info@jkp-ads.com, http://www.jkp-ads.com";"Claves: | 
 Arriba / Abajo, Página Arriba / Abajo, Inicio / Finalizar teclas de flecha para navegar. | Teclas de flecha 
 izquierda / derecha para plegar hacia adentro / hacia afuera. | 
 Teclas numéricas 0 a 9 para abrir y cerrar en un nivel. | Letras 
 para activar el filtro. | 
 | 
 Treeview de JKP Application Development Services, info@jkp-ads.com, http://www.jkp-ads.com";"Nøgler: | 
 Op / Ned, Side Op / Ned, Hjem / Afslut piletasterne for at navigere. | 
 piletasterne venstre / højre for at folde ind / ud. | 
 Numeriske taster 0 til 9 til åbning og lukning på et niveau. | 
 bogstaver for at aktivere filteret. | 
 | 
 Treeview af JKP Application Development Services, info@jkp-ads.com, http://www.jkp-ads.com"
;;"Soll die neue Baumansicht zur Auswahl der Makros verwendet werden oder weiter mit dem alten Listenbasierten Dialog gearbeitet werden?|
  Ja = Neue Baumansicht|
  Nein = Alte Listenansicht|
(Das kann nachträglich auf der 'Config' Seite geändert werden)";"Should the new tree view be used to select the macros or should the old list-based dialog be used? | 
 Yes = new tree view | 
 No = old list view | 
 (This can be changed later on the 'Config' page)";"Moet de nieuwe boomstructuur worden gebruikt om de macro's te selecteren of moet het oude op lijsten gebaseerde dialoogvenster worden gebruikt? | 
 Ja = nieuwe boomstructuur | 
 Nee = oude lijstweergave | 
 (Dit kan later op de 'Config'-pagina worden gewijzigd)";"La nouvelle arborescence doit-elle être utilisée pour sélectionner les macros ou l'ancienne boîte de dialogue basée sur une liste doit-elle être utilisée ? | 
 Oui = nouvelle arborescence | 
 Non = ancienne vue de liste | 
 (Cela peut être modifié ultérieurement sur la page 'Config')";"È necessario utilizzare la nuova visualizzazione ad albero per selezionare le macro o utilizzare la vecchia finestra di dialogo basata su elenchi? | 
 Sì = nuova visualizzazione ad albero | 
 No = vecchia visualizzazione elenco | 
 (questo può essere modificato in seguito nella pagina 'Config')";"¿Debería utilizarse la nueva vista de árbol para seleccionar las macros o debería utilizarse el antiguo cuadro de diálogo basado en listas? | 
 Sí = nueva vista de árbol | 
 No = vista de lista antigua | 
 (Esto se puede cambiar más adelante en la página 'Configuración')";"Skal den nye trævisning bruges til at vælge makroerne, eller skal den gamle listebaserede dialog bruges? | 
 Ja = ny trævisning | 
 Nej = gammel listevisning | 
 (Dette kan ændres senere på siden 'Konfig')"
;;Welcher Makro Auswahl Dialog soll verwendet werden?;Which macro selection dialog should be used?;Welk dialoogvenster voor macroselectie moet worden gebruikt?;Quelle boîte de dialogue de sélection de macro doit être utilisée ?;Quale finestra di dialogo per la selezione delle macro dovrebbe essere utilizzata?;¿Qué cuadro de diálogo de selección de macros debería utilizarse?;Hvilken makrovalgdialog skal bruges?
;;ESP32 Wroom;ESP32 Wroom;ESP32 Wroom;ESP32 Wroom;ESP32 Wroom;ESP32 Wroom;ESP32 Wroom
;;Raspberry Pico (Experimental);Raspberry Pico (Experimental);Frambozen Pico (Experimenteel);Framboise Pico (Expérimental);Pico al lampone (sperimentale);Pico de frambuesa (experimental);Hindbær Pico (eksperimentel)
;;"Achtung: Es wird nur ein Raspberry PICO  """;"Attention: Only one Raspberry PICO """;"Let op: slechts één Raspberry PICO """;"Attention : Un seul Framboise PICO""";"Attenzione: solo un Raspberry PICO """;"Atención: sólo una frambuesa PICO """;"Bemærk: Kun en hindbær PICO """
;;Zum Arduino schicken;Send to the Arduino;Stuur naar de Arduino;Envoyer à l'Arduino;Invia ad Arduino;Enviar al Arduino;Send til Arduino
;;Filename;Filename;Bestandsnaam;Nom de fichier;Nome del file;Nombre del archivo;Filnavn
;;"Kein COM Port erkannt.|
Bitte Arduino an einen USB Anschluss des Computers anschließen";"No COM port recognized. | 
 Please connect the Arduino to a USB port on the computer";"Geen COM-poort herkend. | 
 Sluit de Arduino aan op een USB-poort op de computer";"Aucun port COM reconnu. | 
 Veuillez connecter l'Arduino à un port USB de l'ordinateur";"Nessuna porta COM riconosciuta. | 
 Si prega di collegare Arduino a una porta USB del computer";"No se reconoce ningún puerto COM. | 
 Conecte el Arduino a un puerto USB de la computadora";"Ingen COM -port genkendes. | 
 Slut Arduino til en USB -port på computeren"
;;LED oder Sound Kanal;LED or sound channel;LED of geluidskanaal;LED ou canal sonore;LED o canale audio;LED o canal de sonido;LED eller lydkanal
;;Serial Channel;Serial Channel;Serieel kanaal;Canal série;Canale seriale;Canal serial;Seriel kanal
;;"Fehler beim Lesen der Pin Nummern in Zeile:|
  '#1#'";"Error reading the pin numbers in line: | 
 '#1#'";"Fout bij het lezen van de pincodes in de rij: | 
 '#1#'";"Erreur de lecture des numéros de broche en ligne : | 
 '#1#'";"Errore durante la lettura dei numeri dei pin nella riga: | 
 '#1#'";"Error al leer los números de pin en línea: | 
 '#1#'";"Fejl ved læsning af stiftnumre på linje: | 
 '#1#'"
;;Fehler beim Lesen der Pin Nummern;Error reading the pin numbers;Fout bij het lezen van de pincodes;Erreur de lecture des numéros de broche;Errore durante la lettura dei numeri dei pin;Error al leer los números de pin;Fejl ved læsning af stiftnumre
;;"Fehler: Der Eingabe Pin '#1#' in '#3#' wird bereits als '#2#' Pin benutzt.|
Der Pin kann nicht gleichzeitig für benutzt werden.";"Error: The input pin '#1#' in '#3#' is already used as the '#2#' pin. | 
 The pin cannot be used for at the same time.";"Fout: de invoerpin '#1#' in '#3#' wordt al gebruikt als de '#2#'-pin. | 
 De pin kan niet tegelijkertijd worden gebruikt.";"Erreur : La broche d'entrée '#1#' dans '#3#' est déjà utilisée comme broche '#2#'. | 
 La broche ne peut pas être utilisée en même temps.";"Errore: il pin di input '#1#' in '#3#' è già utilizzato come pin '#2#'. | 
 Il pin non può essere utilizzato contemporaneamente.";"Error: el pin de entrada '#1#' en '#3#' ya se utiliza como pin '#2#'. | 
 El pin no se puede utilizar al mismo tiempo.";"Fejl: Input -pin '#1#' i '#3#' bruges allerede som '#2#' pin. | 
 Stiften kan ikke bruges til samtidig."
;;"Fehler: Der Pin '#1#' in '#3#' wird bereits als '#2#' Pin benutzt.|
Der Pin kann nicht mehrfach benutzt werden.";"Error: The pin '#1#' in '#3#' is already used as the '#2#' pin. | 
 The pin cannot be used more than once.";"Fout: de pin '#1#' in '#3#' wordt al gebruikt als de '#2#'-pin. | 
 De pin kan niet meer dan één keer worden gebruikt.";"Erreur : La broche '#1#' dans '#3#' est déjà utilisée comme broche '#2#'. | 
 La broche ne peut pas être utilisée plus d'une fois.";"Errore: il pin '#1#' in '#3#' è già utilizzato come pin '#2#'. | 
 Il pin non può essere utilizzato più di una volta.";"Error: el pin '#1#' en '#3#' ya se utiliza como pin '#2#'. | 
 El pin no se puede utilizar más de una vez.";"Fejl: Pin '#1#' i '#3#' bruges allerede som '#2#' pin. | 
 Stiften kan ikke bruges mere end én gang."
;;Sound Kanal;Sound channel;Geluidskanaal;Canal sonore;Canale audio;Canal de sonido;Lydkanal
;;Fehler: Der Soundmodul Typ '#1#' wird nicht unterstützt.;Error: The sound module type '#1#' is not supported.;Fout: het type geluidsmodule '#1#' wordt niet ondersteund.;Erreur : Le type de module de son '#1#' n'est pas pris en charge.;Errore: il tipo di modulo audio '#1#' non è supportato.;Error: el tipo de módulo de sonido '#1#' no es compatible.;Fejl: Lydmodultypen '#1#' understøttes ikke.
;;Fehler: Der Sound Kanal '#1#' ist schon definiert.;Error: The sound channel '#1#' is already defined.;Error: Het geluidskanaal '#1#' is al gedefinieerd.;Erreur : Le canal audio '#1#' est déjà défini.;Errore: il canale audio '#1#' è già definito.;Error: el canal de sonido '#1#' ya está definido.;Fejl: Lydkanalen '#1#' er allerede defineret.
;;Fehler: Der 'Sound Kanal' in Zeile #1# ist ungültig;Error: The 'Sound Channel' on line #1# is invalid;Fout: het 'Sound Channel' op regel #1# is ongeldig;Erreur : Le 'Sound Channel' sur la ligne #1# n'est pas valide;Errore: il 'Canale audio' sulla riga #1# non è valido;Error: el 'Canal de sonido' en la línea #1# no es válido;Fejl: 'Lydkanalen' på linje #1# er ugyldig
;;Ungültiger Sound Kanal;Invalid sound channel;Ongeldig geluidskanaal;Canal audio invalide;Canale audio non valido;Canal de sonido no válido;Ugyldig lydkanal
